Epoch,Train Accuracy,Train Avg Likelihood,Test Accuracy,Test Avg Likelihood
1,92.12121212121212,-2777.742714426141,20.0,-3951.6250987562776
2,95.45454545454545,-2601.4198275398053,21.818181818181817,-4271.113165212451
3,89.0909090909091,-2454.8643202426415,12.727272727272727,-5430.705352174859
4,90.6060606060606,-2312.9046527660394,10.0,-14255.37862145302
5,9.090909090909092,nan,9.090909090909092,nan
