Epoch,Train Accuracy,Train Avg Likelihood,Test Accuracy,Test Avg Likelihood
1,92.12121212121212,1.4312530853102804e+116,22.727272727272727,5.207228866246795e+89
2,95.45454545454545,3.0587968654946246e+209,20.0,7.390122844588594e+123
3,89.0909090909091,7.863801379481249e+287,11.818181818181818,1.228886111195927e-16
