Epoch,Train Accuracy,Train Avg Likelihood,Test Accuracy,Test Avg Likelihood
1,92.12121212121212,3.698109994018827e+54,20.0,5.207228866246772e+27
2,95.45454545454545,3.0587939682462144e+145,20.909090909090907,7.390122844588555e+61
3,89.0909090909091,1.0836335342373343e+216,10.0,1.2288861111959223e-78
4,82.12121212121211,inf,9.090909090909092,0.0
5,9.090909090909092,nan,9.090909090909092,nan
